,휴게소명,도로종류,도로노선명,도로노선방향,위도,경도,휴게소종류,휴게소운영시작시각,휴게소운영종료시각,경정비가능여부,주유소유무,LPG충전소유무,전기차충전소유무,버스환승가능여부,쉼터유무,화장실유무,약국유무,수유실유무,매점유무,음식점유무,휴게소대표음식명,휴게소전화번호,전화번호,편의시설,ex-화물차라운지,세차장
19,추풍령(서울 방향),고속국도,경부선,상행,36.199708,128.003242,일반휴게소,00:00,23:59,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,김천지례석쇠불고기,054-439-3187,054-439-3187,"수유실,수면실,샤워실,세탁실,농산물판매장,쉼터",Y,N
20,춘천(부산 방향),고속국도,중앙선,하행,37.8126801,127.766078,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,춘천버섯닭갈비정식,033-264-0500,033-264-0500,"수유실,쉼터",N,N
21,춘향(순천 방향),고속국도,순천완주선,하행,35.3367566,127.3515503,일반휴게소,00:00,23:59,N,Y,N,N,N,Y,Y,N,Y,Y,Y,"향단이정식, 방자네추어탕",063-631-2020,063-631-2020,"수유실,쉼터",N,N
22,춘향(완주 방향),고속국도,순천완주선,상행,35.3376914,127.3537495,일반휴게소,00:00,23:59,N,Y,N,N,N,Y,Y,N,Y,Y,Y,"향단이정식, 방자네추어탕",063-635-6688,063-635-6688,"수유실,쉼터",N,N
23,충주(양평 방향),고속국도,중부내륙선,상행,37.023175,127.839297,일반휴게소,00:00,23:59,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,얼큰새뱅이해물순두부,043-857-9229,043-857-9229,"수유실,수면실,샤워실,세탁실,농산물판매장,쉼터",Y,N
24,충주(창원 방향),고속국도,중부내륙선,하행,37.022229,127.837071,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,충주사과수제돈가스,043-857-9339,043-857-9339,"수유실,수면실,샤워실,세탁실,농산물판매장,쉼터",Y,N
25,치악(부산 방향),고속국도,중앙선,상행,37.253647,128.048514,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,산나물만두감자옹심이,033-762-9234,033-762-9234,"수유실,농산물판매장,쉼터",N,N
26,치악(춘천 방향),고속국도,중앙선,하행,37.256692,128.0488701,일반휴게소,00:00,23:59,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,치악산큰송이닭곰탕,033-762-8030,033-762-8030,"수유실,농산물판매장,쉼터",N,N
27,칠곡(부산 방향),고속국도,경부선,하행,36.019795,128.428517,화물차휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,칠곡호국부대찌개,054-975-2277,054-975-2277,"수유실,수면실,샤워실,세탁실,농산물판매장,쉼터",Y,N
28,칠곡(서울 방향),고속국도,경부선,상행,36.012005,128.4308001,일반휴게소,00:00,23:59,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,대구따로국밥,054-975-1883,054-975-1883,"수유실,수면실,샤워실,세탁실,농산물판매장,쉼터",Y,Y
29,칠서(양평 방향),고속국도,중부내륙지선,상행,35.3708801,128.496807,일반휴게소,00:00,23:59,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,소고기국밥,055-587-9656,055-587-9656,"수유실,수면실,샤워실,세탁실,농산물판매장,쉼터",Y,N
30,통도사(부산 방향),고속국도,경부선,하행,35.488841,129.090775,일반휴게소,00:00,23:59,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,1등급한우국밥,055-383-6145,055-383-6145,"수유실,쉼터",N,N
31,통도사(부산 방향),고속국도,경부선,,35.488787,129.090782,일반휴게소,00:00,24:00,,Y,Y,Y,N,Y,Y,,Y,Y,Y,,055-383-6145,055-383-6145,"수유실,쉼터",N,N
32,평사(부산 방향),고속국도,경부선,하행,35.885522,128.867541,일반휴게소,00:00,23:59,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,경산대추비빔밥,053-852-8651,053-852-8651,"수유실,수면실,샤워실,세탁실,쉼터",Y,N
33,평창(강릉 방향),고속국도,영동선,하행,37.6055701,128.452681,일반휴게소,00:00,23:59,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,평창한우불고기비빔밥,033-334-5100,033-334-5100,"수유실,쉼터",N,N
34,평창(인천 방향),고속국도,영동선,상행,37.610876,128.463363,일반휴게소,00:00,23:59,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,평창한우국밥,033-333-6131,033-333-6131,"수유실,농산물판매장,쉼터",N,N
35,평택( 방향),고속국도,평택제천선,양방향,37.045585,126.943774,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,평택나루사골우거지국밥,031-683-4800,031-683-4800,"수유실,수면실,샤워실,세탁실,농산물판매장,쉼터",Y,Y
36,평택( 방향),고속국도,평택제천선,양방향,37.045585,126.943774,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,평택나루사골우거지국밥,031-683-4800,031-683-4800,"수유실,수면실,샤워실,세탁실,약국,쉼터",Y,Y
37,하남드림( 방향),고속국도,중부선,양방향,37.530281,127.206084,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,하남마방장터국밥,031-791-4200,031-791-4200,"수유실,쉼터",N,N
38,함안(부산 방향),고속국도,남해선,상행,35.294068,128.346957,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,연잎등심돈가스,055-582-2191,055-582-2191,"수유실,수면실,샤워실,세탁실,농산물판매장,쉼터",Y,N
39,함안(순천 방향),고속국도,남해선,하행,35.294701,128.344767,일반휴게소,00:00,23:59,N,Y,Y,N,N,Y,Y,N,Y,Y,Y,돼지짜글이백반,055-582-5470,055-582-5470,"수유실,쉼터",N,N
40,함양(대전 방향),고속국도,대전통영선,상행,35.551611,127.7604201,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,새싹삼비빔밥,055-963-8001,055-963-8001,"수유실,농산물판매장,쉼터",N,N
41,함양(통영 방향),고속국도,대전통영선,하행,35.551322,127.758563,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,새싹삼비빔밥,055-963-6717,055-963-6717,"수유실,농산물판매장,쉼터",N,N
42,함평나비(광주 방향),고속국도,무안광주선,상행,35.037283,126.511676,일반휴게소,00:00,23:59,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,"사골김치찌개, 황태해장국",061-324-8840,061-324-8840,"수유실,쉼터",N,N
43,함평나비(무안 방향),고속국도,무안광주선,하행,35.038198,126.508813,일반휴게소,00:00,23:59,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,"순두부청국장, 등심돈까스",061-324-8858,061-324-8858,"수유실,쉼터",N,N
44,함평천지(목포 방향),고속국도,서해안선,하행,35.069687,126.478247,일반휴게소,00:00,23:59,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,"나주곰탕, 순두부찌개",061-323-3751,061-323-3751,"수유실,샤워실,쉼터",N,N
45,함평천지(서울 방향),고속국도,서해안선,상행,35.130746,126.482295,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,"친환경 우렁 강된장 볶음, 몽글몽글 순두부찌개",061-323-3641,061-323-3641,"수유실,농산물판매장,쉼터",N,N
46,의성(영덕 방향),고속국도,상주영덕선,하행,36.409501,128.447699,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,의성마늘곰탕,054-862-9252,054-862-9252,"수유실,쉼터",N,N
47,의성(청주 방향),고속국도,상주영덕선,상행,36.410954,128.4447101,일반휴게소,00:00,23:59,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,의성마늘육개장,054-862-9076,054-862-9076,"수유실,쉼터",N,N
48,이서(순천 방향),고속국도,호남선,하행,35.803936,127.023705,화물차휴게소,00:00,23:59,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,명품꼬막비빔밥,063-227-4114,063-227-4114,"수유실,수면실,샤워실,세탁실,쉼터",Y,N
49,이서(천안 방향),고속국도,호남선,상행,35.801932,127.025759,화물차휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,명품애호박국밥,063-236-2592,063-236-2592,"수유실,수면실,샤워실,세탁실,농산물판매장,쉼터",Y,N
50,이천(남이 방향),고속국도,중부선,하행,37.264574,127.403687,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,장터국밥,031-637-0987,031-637-0987,수유실,N,N
51,이천(하남 방향),고속국도,중부선,상행,37.293979,127.378203,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,영양돌솥비빔밥,031-638-1117,031-638-1117,"수유실,샤워실,농산물판매장,쉼터",N,Y
52,입장거봉포도(서울 방향),고속국도,경부선,상행,36.942997,127.192467,화물차휴게소,00:00,23:59,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,입장거봉포도돈까스,041-588-7868,041-588-7868,"수유실,수면실,샤워실,세탁실,농산물판매장,쉼터,이발소",Y,N
53,장유(서부산 방향),고속국도,남해선,하행,35.212074,128.7935801,일반휴게소,00:00,23:59,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,통영해물순두부찌개,055-313-2610,055-313-2610,수유실,N,N
54,장흥정남진( 방향),고속국도,남해선,양방향,34.720894,126.931319,일반휴게소,00:00,23:59,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,"장?V표고뚝배기불고기, 순두부찌개",061-864-5007,061-864-5007,"수유실,수면실,샤워실,세탁실,쉼터",Y,N
55,장흥정남진( 방향),고속국도,남해선,양방향,34.720894,126.931319,일반휴게소,00:00,23:59,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,"장?V표고뚝배기불고기, 순두부찌개",061-864-5007,061-864-5007,"수유실,수면실,샤워실,세탁실,쉼터",Y,N
56,정읍녹두장군(순천 방향),고속국도,호남선,하행,35.601465,126.862006,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,녹두장군오리탕,063-532-0510,063-532-0510,"수유실,농산물판매장",N,N
57,정읍녹두장군(순천 방향),고속국도,호남선,하행,35.599968,126.864341,일반휴게소,00:00,23:59,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,산외한우뚝배기불고기,063-532-0510,063-532-0510,"수유실,농산물판매장",N,N
58,정읍녹두장군(천안 방향),고속국도,호남선,상행,35.599975,126.864336,일반휴게소,00:00,23:59,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,정읍국밥,063-532-2373,063-532-2373,"수유실,농산물판매장",N,N
59,정읍녹두장군(천안 방향),고속국도,호남선,상행,35.601456,126.862006,일반휴게소,00:00,23:59,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,복분자낙지연포탕,063-532-2373,063-532-2373,"수유실,농산물판매장",N,N
60,주암(순천 방향),고속국도,호남선,하행,35.076197,127.2641001,일반휴게소,00:00,23:59,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,"한우파개장, 해물순두부",061-754-4980,061-754-4980,"수유실,쉼터",N,N
61,주암(천안 방향),고속국도,호남선,상행,35.076587,127.265762,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,"오.쭈.삼 철판볶음, 제육볶음",061-754-2432,061-754-2432,"수유실,쉼터",N,N
62,죽암(부산 방향),고속국도,경부선,하행,36.4868101,127.429261,일반휴게소,00:00,23:59,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,보은대추왕갈비탕,043-269-0850,043-269-0850,수유실,N,N
63,죽암(서울 방향),고속국도,경부선,상행,36.496775,127.4306501,일반휴게소,00:00,23:59,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,돌솥비빔밥,043-260-8035,043-260-8035,"수유실,쉼터",N,N
64,죽전(서울 방향),고속국도,경부선,상행,37.332371,127.104795,일반휴게소,00:00,23:59,N,Y,N,Y,N,N,Y,N,Y,Y,Y,용인특산품영양밥정식,031-262-3168,031-262-3168,"수유실,농산물판매장",N,Y
65,지리산(광주 방향),고속국도,광주대구선,하행,35.483942,127.567106,일반휴게소,00:00,23:59,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,"춘향돌솥추어탕, 화덕고등어구이",063-636-7195,063-636-7195,"수유실,쉼터",N,N
66,지리산(대구 방향),고속국도,광주대구선,상행,35.481353,127.566804,일반휴게소,00:00,23:59,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,"춘향돌솥추어탕, 화덕고등어구이",063-636-7191,063-636-7191,"수유실,농산물판매장,쉼터",N,N
67,진안마이산(익산 방향),고속국도,익산장수선,하행,35.777898,127.425279,일반휴게소,00:00,23:59,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,흑돼지고추장찌개,063-432-1380,063-432-1380,"수유실,농산물판매장",N,N
68,진안마이산(장수 방향),고속국도,익산장수선,상행,35.7748201,127.426362,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,흑돼지돈까스,063-432-6350,063-432-6350,"수유실,농산물판매장",N,N
69,진영(부산 방향),고속국도,남해선,상행,35.2779101,128.715388,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,진영소국밥,055-334-8700,055-334-8700,"수유실,농산물판매장",N,N
70,진영(순천 방향),고속국도,남해선,하행,35.280059,128.716044,일반휴게소,00:00,23:59,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,장군차갈비찜,055-342-3959,055-342-3959,수유실,N,N
71,진주(부산 방향),고속국도,남해선,상행,35.159772,128.1220101,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,진주육전비빔밥,055-759-3205,055-759-3205,"수유실,쉼터",N,N
72,천등산(제천 방향),고속국도,평택제천선,하행,37.061597,127.939378,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,천등산고추장짜글이,043-844-2991,043-844-2991,"수유실,농산물판매장,쉼터",N,N
73,천등산(평택 방향),고속국도,평택제천선,상행,37.076872,127.989171,일반휴게소,00:00,23:59,N,Y,N,Y,N,N,Y,N,Y,Y,Y,우렁순두부찌개,043-844-2930,043-844-2930,"수유실,농산물판매장,쉼터",N,N
74,천안삼거리(서울 방향),고속국도,경부선,상행,36.787809,127.173455,일반휴게소,00:00,23:59,N,Y,Y,Y,N,N,Y,Y,Y,Y,Y,해주비빔밥,041-551-2480,041-551-2480,"수유실,농산물판매장,약국,쉼터",N,Y
75,천안호두(부산 방향),고속국도,경부선,하행,36.730226,127.263879,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,아우네병천순대국밥,041-552-4560,041-552-4560,"수유실,쉼터",N,N
76,청송(영덕 방향),고속국도,상주영덕선,상행,36.455725,129.0131901,일반휴게소,00:00,23:59,N,Y,N,N,N,Y,Y,N,Y,Y,Y,청송사과돈가스,054-873-9102,054-873-9102,수유실,N,N
77,청송(청주 방향),고속국도,상주영덕선,하행,36.456721,129.012028,일반휴게소,00:00,23:59,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,청송사과돈가스,054-873-5911,054-873-5911,수유실,N,N
78,언양(서울 방향),고속국도,경부선,상행,35.597942,129.141801,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,묵은지김치찌개,052-263-6153,052-263-6153,"수유실,수면실,샤워실,세탁실,쉼터",Y,N
79,여산(순천 방향),고속국도,호남선,하행,36.048555,127.102333,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,미륵산해물순두부,063-836-5280,063-836-5280,"수유실,수면실,샤워실,세탁실,농산물판매장,쉼터",Y,N
80,여산(천안 방향),고속국도,호남선,상행,36.048528,127.104716,일반휴게소,00:00,23:59,N,Y,Y,N,N,Y,Y,N,Y,Y,Y,서동마여산양파제육불고기,063-836-5168,063-836-5168,"수유실,농산물판매장",N,N
81,여주(강릉 방향),고속국도,영동선,하행,37.238022,127.568892,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,용대리황태해장국,031-882-3120,031-882-3120,"수유실,수면실,샤워실,세탁실,농산물판매장,쉼터",Y,N
82,여주(인천 방향),고속국도,영동선,상행,37.239739,127.569949,일반휴게소,00:00,23:59,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,매운돼지갈비찜,031-882-2900,031-882-2900,"수유실,농산물판매장,쉼터",N,N
83,영산(창원 방향),고속국도,중부내륙지선,하행,35.429794,128.495915,일반휴게소,00:00,23:59,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,창녕양파제육정식,055-521-2978,055-521-2978,"수유실,수면실,샤워실,세탁실,쉼터",Y,N
84,영천(대구 방향),고속국도,대구포항선,하행,36.053254,129.044422,화물차휴게소,00:00,23:59,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,영천돼지짜글이,054-338-0037,054-338-0037,"수유실,수면실,샤워실,세탁실,쉼터",Y,N
85,영천(포항 방향),고속국도,대구포항선,상행,36.051451,129.042544,화물차휴게소,00:00,23:59,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,영천뽕잎얼갈이해장국,054-338-0062,054-338-0062,"수유실,수면실,샤워실,세탁실,쉼터",Y,N
86,예산(당진 방향),고속국도,당진영덕선,하행,36.619429,126.846389,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,사과돈가스,041-335-0020,041-335-0020,"수유실,수면실,샤워실,세탁실,농산물판매장,쉼터",Y,N
87,예산(대전 방향),고속국도,당진영덕선,상행,36.6234601,126.839619,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,한방돼지국밥,041-334-0094,041-334-0094,"수유실,수면실,샤워실,세탁실,농산물판매장,쉼터",Y,N
88,오수(순천 방향),고속국도,순천완주선,하행,35.540925,127.309267,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,"임실치즈 매콤돈까스, 임실치즈 식물성제육철판볶음밥",063-644-6116,063-644-6116,"수유실,수면실,샤워실,세탁실,농산물판매장,쉼터",Y,N
89,오수(완주 방향),고속국도,순천완주선,상행,35.540271,127.311622,일반휴게소,00:00,23:59,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,"임실치즈 매콤돈까스, 임실치즈 식물성불고기철판볶음밥",063-644-5115,063-644-5115,"수유실,수면실,샤워실,세탁실,쉼터",Y,N
90,오창(남이 방향),고속국도,중부선,하행,36.758481,127.481777,일반휴게소,00:00,23:59,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,능이버섯인삼설렁탕,043-217-1477,043-217-1477,수유실,N,N
91,오창(하남 방향),고속국도,중부선,상행,36.756581,127.481909,일반휴게소,00:00,23:59,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,등심돈가스,043-217-8303,043-217-8303,"수유실,쉼터",N,N
92,옥계(속초 방향),고속국도,동해선,상행,37.616198,129.060129,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,막국수,033-534-1700,033-534-1700,"수유실,쉼터",N,N
93,옥산(부산 방향),고속국도,경부선,하행,36.657743,127.369817,화물차휴게소,00:00,23:59,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,화덕고추장삼겹살,043-260-1053,043-260-1053,"수유실,수면실,샤워실,이발소",Y,N
94,옥천(부산 방향),고속국도,경부선,하행,36.296863,127.595223,화물차휴게소,00:00,23:59,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,숯불고기비빔밥,043-731-8521,043-731-8521,"수유실,수면실,샤워실,세탁실,쉼터,이발소",Y,N
95,옥천(서울 방향),고속국도,경부선,상행,36.297616,127.598777,일반휴게소,00:00,23:59,Y,Y,Y,Y,N,N,Y,N,Y,Y,Y,한방닭곰탕,043-731-8097,043-731-8097,"수유실,농산물판매장",N,N
96,옥천만남( 방향),고속국도,경부선,양방향,36.308718,127.572308,화물차휴게소,00:00,23:59,Y,Y,N,Y,N,Y,Y,N,N,Y,N,없음,043-732-0081,043-732-0081,"수면실,샤워실,세탁실",Y,Y
97,와촌(포항 방향),고속국도,대구포항선,상행,35.951819,128.775563,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,대추고추장비빔밥,053-853-1002,053-853-1002,"수유실,농산물판매장,쉼터",N,N
98,외동(부산 방향),고속국도,울산포항선,하행,35.672753,129.285277,일반휴게소,00:00,23:59,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,장터국밥,054-745-0637,054-745-0637,"수유실,쉼터",N,N
99,외동(포항 방향),고속국도,울산포항선,상행,35.672847,129.288543,일반휴게소,00:00,23:59,N,Y,N,Y,N,Y,Y,N,Y,Y,Y,천년한우국밥,054-745-0631,054-745-0631,"수유실,쉼터",N,N
100,용인(강릉 방향),고속국도,영동선,하행,37.245583,127.2419801,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,소고기국밥,031-339-3663,031-339-3663,"수유실,쉼터",N,N
101,용인(인천 방향),고속국도,영동선,상행,37.248318,127.238342,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,콩고기더덕돌솥비빔밥,031-339-3660,031-339-3660,"수유실,샤워실,쉼터",N,Y
102,울주(함양 방향),고속국도,밀양울산선,하행,35.5131601,129.128519,일반휴게소,00:00,23:59,N,Y,N,Y,N,N,Y,N,Y,Y,Y,고등어구이,052-933-5242,052-933-5242,"수유실,수면실,샤워실,세탁실,쉼터",Y,N
103,원주(부산 방향),고속국도,중앙선,하행,37.435194,127.929063,일반휴게소,00:00,23:59,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,한우국밥,033-731-4291,033-731-4291,수유실,N,N
104,원주(춘천 방향),고속국도,중앙선,상행,37.434542,127.931768,일반휴게소,00:00,23:59,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,한돈고추장불고기,033-731-8194,033-731-8194,수유실,N,N
105,음성(남이 방향),고속국도,중부선,하행,37.019638,127.480712,일반휴게소,00:00,23:59,N,Y,Y,Y,N,N,Y,N,Y,Y,Y,우거지별난국밥,043-878-6410,043-878-6410,"수유실,쉼터",N,N
106,음성(하남 방향),고속국도,중부선,상행,37.022065,127.484315,일반휴게소,00:00,23:59,N,Y,Y,Y,N,Y,Y,N,Y,Y,Y,음성인삼설렁탕,043-878-6403,043-878-6403,"수유실,농산물판매장,쉼터",N,N
